timestamp_utc,policy,retry_model,retry_budget,hotspot_probability,hotspot_p,mpl,repeat,seed,warmup_seconds,measurement_seconds,committed,errors,attempts,aborts,committed_tps,tps,observed_tps,attempted_tps,error_rate_pct,error_rate,abort_rate_pct,abort_rate,latency_mean_ms,mean_latency_ms,latency_p50_ms,latency_p95_ms,p95_latency_ms,validation_ok,post_total_funds,raw_path
2026-05-15T18:53:52.093771+00:00,rc,bounded_1,1,0.100000,0.100000,1,1,3992,30.0,60.0,189073,0,189073,0,3151.216667,3151.216667,3151.216667,3151.216667,0.000000,0.000000,0.000000,0.000000,0.310804,0.310804,0.255375,0.472946,0.472946,True,3600323380,results/main/raw/20260515T185352.093771+0000_rc_mpl1_bounded_1_p0p1_r1.json
2026-05-15T18:55:22.956825+00:00,rc,bounded_1,1,0.100000,0.100000,1,2,3993,30.0,60.0,204434,0,204434,0,3407.233333,3407.233333,3407.233333,3407.233333,0.000000,0.000000,0.000000,0.000000,0.287586,0.287586,0.269145,0.514623,0.514623,True,3600332599,results/main/raw/20260515T185522.956825+0000_rc_mpl1_bounded_1_p0p1_r2.json
2026-05-15T18:56:53.724033+00:00,rc,bounded_1,1,0.100000,0.100000,1,3,3994,30.0,60.0,211046,0,211046,0,3517.433333,3517.433333,3517.433333,3517.433333,0.000000,0.000000,0.000000,0.000000,0.278774,0.278774,0.231146,0.425722,0.425722,True,3600344688,results/main/raw/20260515T185653.724033+0000_rc_mpl1_bounded_1_p0p1_r3.json
2026-05-15T18:58:24.471538+00:00,rc,bounded_1,1,0.100000,0.100000,1,4,3995,30.0,60.0,205696,0,205696,0,3428.266667,3428.266667,3428.266667,3428.266667,0.000000,0.000000,0.000000,0.000000,0.285950,0.285950,0.223542,0.454771,0.454771,True,3600336342,results/main/raw/20260515T185824.471538+0000_rc_mpl1_bounded_1_p0p1_r4.json
2026-05-15T18:59:55.239599+00:00,rc,bounded_1,1,0.100000,0.100000,1,5,3996,30.0,60.0,204621,0,204621,0,3410.350000,3410.350000,3410.350000,3410.350000,0.000000,0.000000,0.000000,0.000000,0.287624,0.287624,0.242354,0.458277,0.458277,True,3600337419,results/main/raw/20260515T185955.239599+0000_rc_mpl1_bounded_1_p0p1_r5.json
2026-05-15T19:01:26.046216+00:00,rc,bounded_1,1,0.500000,0.500000,1,1,3992,30.0,60.0,201105,0,201105,0,3351.750000,3351.750000,3351.750000,3351.750000,0.000000,0.000000,0.000000,0.000000,0.292543,0.292543,0.270208,0.576179,0.576179,True,3600334914,results/main/raw/20260515T190126.046216+0000_rc_mpl1_bounded_1_p0p5_r1.json
2026-05-15T19:02:56.830637+00:00,rc,bounded_1,1,0.500000,0.500000,1,2,3993,30.0,60.0,200207,0,200207,0,3336.783333,3336.783333,3336.783333,3336.783333,0.000000,0.000000,0.000000,0.000000,0.293887,0.293887,0.240688,0.452758,0.452758,True,3600331633,results/main/raw/20260515T190256.830637+0000_rc_mpl1_bounded_1_p0p5_r2.json
2026-05-15T19:04:27.565348+00:00,rc,bounded_1,1,0.500000,0.500000,1,3,3994,30.0,60.0,203619,0,203619,0,3393.650000,3393.650000,3393.650000,3393.650000,0.000000,0.000000,0.000000,0.000000,0.289133,0.289133,0.244771,0.442099,0.442099,True,3600338341,results/main/raw/20260515T190427.565348+0000_rc_mpl1_bounded_1_p0p5_r3.json
2026-05-15T19:05:58.283668+00:00,rc,bounded_1,1,0.500000,0.500000,1,4,3995,30.0,60.0,206885,0,206885,0,3448.083333,3448.083333,3448.083333,3448.083333,0.000000,0.000000,0.000000,0.000000,0.284351,0.284351,0.230437,0.444910,0.444910,True,3600340758,results/main/raw/20260515T190558.283668+0000_rc_mpl1_bounded_1_p0p5_r4.json
2026-05-15T19:07:29.006512+00:00,rc,bounded_1,1,0.500000,0.500000,1,5,3996,30.0,60.0,211640,0,211640,0,3527.333333,3527.333333,3527.333333,3527.333333,0.000000,0.000000,0.000000,0.000000,0.278304,0.278304,0.232416,0.426306,0.426306,True,3600348554,results/main/raw/20260515T190729.006512+0000_rc_mpl1_bounded_1_p0p5_r5.json
2026-05-15T19:08:59.756157+00:00,rc,bounded_1,1,0.900000,0.900000,1,1,3992,30.0,60.0,212223,0,212223,0,3537.050000,3537.050000,3537.050000,3537.050000,0.000000,0.000000,0.000000,0.000000,0.277390,0.277390,0.219354,0.435229,0.435229,True,3600353102,results/main/raw/20260515T190859.756157+0000_rc_mpl1_bounded_1_p0p9_r1.json
2026-05-15T19:10:30.451111+00:00,rc,bounded_1,1,0.900000,0.900000,1,2,3993,30.0,60.0,212966,0,212966,0,3549.433333,3549.433333,3549.433333,3549.433333,0.000000,0.000000,0.000000,0.000000,0.276663,0.276663,0.242500,0.440962,0.440962,True,3600353547,results/main/raw/20260515T191030.451111+0000_rc_mpl1_bounded_1_p0p9_r2.json
2026-05-15T19:12:01.188037+00:00,rc,bounded_1,1,0.900000,0.900000,1,3,3994,30.0,60.0,214080,0,214080,0,3568.000000,3568.000000,3568.000000,3568.000000,0.000000,0.000000,0.000000,0.000000,0.275187,0.275187,0.230063,0.423712,0.423712,True,3600356366,results/main/raw/20260515T191201.188037+0000_rc_mpl1_bounded_1_p0p9_r3.json
2026-05-15T19:13:31.970655+00:00,rc,bounded_1,1,0.900000,0.900000,1,4,3995,30.0,60.0,213920,0,213920,0,3565.333333,3565.333333,3565.333333,3565.333333,0.000000,0.000000,0.000000,0.000000,0.275342,0.275342,0.233854,0.423335,0.423335,True,3600351156,results/main/raw/20260515T191331.970655+0000_rc_mpl1_bounded_1_p0p9_r4.json
2026-05-15T19:15:02.679476+00:00,rc,bounded_1,1,0.900000,0.900000,1,5,3996,30.0,60.0,213278,0,213278,0,3554.633333,3554.633333,3554.633333,3554.633333,0.000000,0.000000,0.000000,0.000000,0.276242,0.276242,0.228250,0.406510,0.406510,True,3600352302,results/main/raw/20260515T191502.679476+0000_rc_mpl1_bounded_1_p0p9_r5.json
2026-05-15T19:16:33.370724+00:00,rc,bounded_3,3,0.100000,0.100000,1,1,3992,30.0,60.0,212357,0,212357,0,3539.283333,3539.283333,3539.283333,3539.283333,0.000000,0.000000,0.000000,0.000000,0.277285,0.277285,0.227937,0.423630,0.423630,True,3600354318,results/main/raw/20260515T191633.370724+0000_rc_mpl1_bounded_3_p0p1_r1.json
2026-05-15T19:18:04.075828+00:00,rc,bounded_3,3,0.100000,0.100000,1,2,3993,30.0,60.0,212447,0,212447,0,3540.783333,3540.783333,3540.783333,3540.783333,0.000000,0.000000,0.000000,0.000000,0.277194,0.277194,0.252563,0.449546,0.449546,True,3600351421,results/main/raw/20260515T191804.075828+0000_rc_mpl1_bounded_3_p0p1_r2.json
2026-05-15T19:19:34.802649+00:00,rc,bounded_3,3,0.100000,0.100000,1,3,3994,30.0,60.0,214192,0,214192,0,3569.866667,3569.866667,3569.866667,3569.866667,0.000000,0.000000,0.000000,0.000000,0.274882,0.274882,0.238959,0.444228,0.444228,True,3600352308,results/main/raw/20260515T191934.802649+0000_rc_mpl1_bounded_3_p0p1_r3.json
2026-05-15T19:21:05.494717+00:00,rc,bounded_3,3,0.100000,0.100000,1,4,3995,30.0,60.0,212946,0,212946,0,3549.100000,3549.100000,3549.100000,3549.100000,0.000000,0.000000,0.000000,0.000000,0.276503,0.276503,0.243604,0.445061,0.445061,True,3600349011,results/main/raw/20260515T192105.494717+0000_rc_mpl1_bounded_3_p0p1_r4.json
2026-05-15T19:22:36.159945+00:00,rc,bounded_3,3,0.100000,0.100000,1,5,3996,30.0,60.0,213855,0,213855,0,3564.250000,3564.250000,3564.250000,3564.250000,0.000000,0.000000,0.000000,0.000000,0.275310,0.275310,0.258979,0.461532,0.461532,True,3600353303,results/main/raw/20260515T192236.159945+0000_rc_mpl1_bounded_3_p0p1_r5.json
2026-05-15T19:24:06.857103+00:00,rc,bounded_3,3,0.500000,0.500000,1,1,3992,30.0,60.0,212637,0,212637,0,3543.950000,3543.950000,3543.950000,3543.950000,0.000000,0.000000,0.000000,0.000000,0.276994,0.276994,0.230126,0.423129,0.423129,True,3600351227,results/main/raw/20260515T192406.857103+0000_rc_mpl1_bounded_3_p0p5_r1.json
2026-05-15T19:25:37.575311+00:00,rc,bounded_3,3,0.500000,0.500000,1,2,3993,30.0,60.0,214794,0,214794,0,3579.900000,3579.900000,3579.900000,3579.900000,0.000000,0.000000,0.000000,0.000000,0.274135,0.274135,0.232958,0.428271,0.428271,True,3600357018,results/main/raw/20260515T192537.575311+0000_rc_mpl1_bounded_3_p0p5_r2.json
2026-05-15T19:27:08.280732+00:00,rc,bounded_3,3,0.500000,0.500000,1,3,3994,30.0,60.0,213456,0,213456,0,3557.600000,3557.600000,3557.600000,3557.600000,0.000000,0.000000,0.000000,0.000000,0.275908,0.275908,0.234854,0.428635,0.428635,True,3600354645,results/main/raw/20260515T192708.280732+0000_rc_mpl1_bounded_3_p0p5_r3.json
2026-05-15T19:28:39.072635+00:00,rc,bounded_3,3,0.500000,0.500000,1,4,3995,30.0,60.0,212176,0,212176,0,3536.266667,3536.266667,3536.266667,3536.266667,0.000000,0.000000,0.000000,0.000000,0.277369,0.277369,0.231938,0.440427,0.440427,True,3600344662,results/main/raw/20260515T192839.072635+0000_rc_mpl1_bounded_3_p0p5_r4.json
2026-05-15T19:30:09.777265+00:00,rc,bounded_3,3,0.500000,0.500000,1,5,3996,30.0,60.0,208257,0,208257,0,3470.950000,3470.950000,3470.950000,3470.950000,0.000000,0.000000,0.000000,0.000000,0.282326,0.282326,0.231709,0.443321,0.443321,True,3600343258,results/main/raw/20260515T193009.777265+0000_rc_mpl1_bounded_3_p0p5_r5.json
2026-05-15T19:31:40.502122+00:00,rc,bounded_3,3,0.900000,0.900000,1,1,3992,30.0,60.0,215682,0,215682,0,3594.700000,3594.700000,3594.700000,3594.700000,0.000000,0.000000,0.000000,0.000000,0.273035,0.273035,0.234604,0.426692,0.426692,True,3600363057,results/main/raw/20260515T193140.502122+0000_rc_mpl1_bounded_3_p0p9_r1.json
2026-05-15T19:33:11.214342+00:00,rc,bounded_3,3,0.900000,0.900000,1,2,3993,30.0,60.0,215561,0,215561,0,3592.683333,3592.683333,3592.683333,3592.683333,0.000000,0.000000,0.000000,0.000000,0.273218,0.273218,0.228146,0.418856,0.418856,True,3600358377,results/main/raw/20260515T193311.214342+0000_rc_mpl1_bounded_3_p0p9_r2.json
2026-05-15T19:34:41.952987+00:00,rc,bounded_3,3,0.900000,0.900000,1,3,3994,30.0,60.0,216678,0,216678,0,3611.300000,3611.300000,3611.300000,3611.300000,0.000000,0.000000,0.000000,0.000000,0.271826,0.271826,0.231667,0.416408,0.416408,True,3600360871,results/main/raw/20260515T193441.952987+0000_rc_mpl1_bounded_3_p0p9_r3.json
2026-05-15T19:36:12.659639+00:00,rc,bounded_3,3,0.900000,0.900000,1,4,3995,30.0,60.0,212077,0,212077,0,3534.616667,3534.616667,3534.616667,3534.616667,0.000000,0.000000,0.000000,0.000000,0.277371,0.277371,0.239999,0.432929,0.432929,True,3600350391,results/main/raw/20260515T193612.659639+0000_rc_mpl1_bounded_3_p0p9_r4.json
2026-05-15T19:37:43.367209+00:00,rc,bounded_3,3,0.900000,0.900000,1,5,3996,30.0,60.0,216163,0,216163,0,3602.716667,3602.716667,3602.716667,3602.716667,0.000000,0.000000,0.000000,0.000000,0.272456,0.272456,0.240124,0.437931,0.437931,True,3600357023,results/main/raw/20260515T193743.367209+0000_rc_mpl1_bounded_3_p0p9_r5.json
2026-05-15T19:39:14.081883+00:00,rc,bounded_10,10,0.100000,0.100000,1,1,3992,30.0,60.0,212730,0,212730,0,3545.500000,3545.500000,3545.500000,3545.500000,0.000000,0.000000,0.000000,0.000000,0.276809,0.276809,0.236521,0.428173,0.428173,True,3600355889,results/main/raw/20260515T193914.081883+0000_rc_mpl1_bounded_10_p0p1_r1.json
2026-05-15T19:40:44.831090+00:00,rc,bounded_10,10,0.100000,0.100000,1,2,3993,30.0,60.0,214337,0,214337,0,3572.283333,3572.283333,3572.283333,3572.283333,0.000000,0.000000,0.000000,0.000000,0.274757,0.274757,0.230125,0.421265,0.421265,True,3600356418,results/main/raw/20260515T194044.831090+0000_rc_mpl1_bounded_10_p0p1_r2.json
2026-05-15T19:42:15.538051+00:00,rc,bounded_10,10,0.100000,0.100000,1,3,3994,30.0,60.0,213181,0,213181,0,3553.016667,3553.016667,3553.016667,3553.016667,0.000000,0.000000,0.000000,0.000000,0.276256,0.276256,0.238458,0.444227,0.444227,True,3600352185,results/main/raw/20260515T194215.538051+0000_rc_mpl1_bounded_10_p0p1_r3.json
2026-05-15T19:43:46.271972+00:00,rc,bounded_10,10,0.100000,0.100000,1,4,3995,30.0,60.0,214388,0,214388,0,3573.133333,3573.133333,3573.133333,3573.133333,0.000000,0.000000,0.000000,0.000000,0.274676,0.274676,0.240354,0.447671,0.447671,True,3600351024,results/main/raw/20260515T194346.271972+0000_rc_mpl1_bounded_10_p0p1_r4.json
2026-05-15T19:45:17.007287+00:00,rc,bounded_10,10,0.100000,0.100000,1,5,3996,30.0,60.0,213114,0,213114,0,3551.900000,3551.900000,3551.900000,3551.900000,0.000000,0.000000,0.000000,0.000000,0.276274,0.276274,0.225437,0.411711,0.411711,True,3600352642,results/main/raw/20260515T194517.007287+0000_rc_mpl1_bounded_10_p0p1_r5.json
2026-05-15T19:46:47.715785+00:00,rc,bounded_10,10,0.500000,0.500000,1,1,3992,30.0,60.0,212532,0,212532,0,3542.200000,3542.200000,3542.200000,3542.200000,0.000000,0.000000,0.000000,0.000000,0.276847,0.276847,0.224479,0.427217,0.427217,True,3600348794,results/main/raw/20260515T194647.715785+0000_rc_mpl1_bounded_10_p0p5_r1.json
2026-05-15T19:48:18.457437+00:00,rc,bounded_10,10,0.500000,0.500000,1,2,3993,30.0,60.0,213263,0,213263,0,3554.383333,3554.383333,3554.383333,3554.383333,0.000000,0.000000,0.000000,0.000000,0.276140,0.276140,0.234688,0.433550,0.433550,True,3600354967,results/main/raw/20260515T194818.457437+0000_rc_mpl1_bounded_10_p0p5_r2.json
2026-05-15T19:49:49.164293+00:00,rc,bounded_10,10,0.500000,0.500000,1,3,3994,30.0,60.0,214700,0,214700,0,3578.333333,3578.333333,3578.333333,3578.333333,0.000000,0.000000,0.000000,0.000000,0.274337,0.274337,0.235980,0.431031,0.431031,True,3600355894,results/main/raw/20260515T194949.164293+0000_rc_mpl1_bounded_10_p0p5_r3.json
2026-05-15T19:51:19.871053+00:00,rc,bounded_10,10,0.500000,0.500000,1,4,3995,30.0,60.0,213978,0,213978,0,3566.300000,3566.300000,3566.300000,3566.300000,0.000000,0.000000,0.000000,0.000000,0.275131,0.275131,0.243000,0.450400,0.450400,True,3600352286,results/main/raw/20260515T195119.871053+0000_rc_mpl1_bounded_10_p0p5_r4.json
2026-05-15T19:52:50.597401+00:00,rc,bounded_10,10,0.500000,0.500000,1,5,3996,30.0,60.0,214452,0,214452,0,3574.200000,3574.200000,3574.200000,3574.200000,0.000000,0.000000,0.000000,0.000000,0.274626,0.274626,0.233771,0.431294,0.431294,True,3600352999,results/main/raw/20260515T195250.597401+0000_rc_mpl1_bounded_10_p0p5_r5.json
2026-05-15T19:54:21.308990+00:00,rc,bounded_10,10,0.900000,0.900000,1,1,3992,30.0,60.0,215679,0,215679,0,3594.650000,3594.650000,3594.650000,3594.650000,0.000000,0.000000,0.000000,0.000000,0.273091,0.273091,0.226938,0.420271,0.420271,True,3600361030,results/main/raw/20260515T195421.308990+0000_rc_mpl1_bounded_10_p0p9_r1.json
2026-05-15T19:55:52.035016+00:00,rc,bounded_10,10,0.900000,0.900000,1,2,3993,30.0,60.0,216577,0,216577,0,3609.616667,3609.616667,3609.616667,3609.616667,0.000000,0.000000,0.000000,0.000000,0.271920,0.271920,0.224625,0.419158,0.419158,True,3600358794,results/main/raw/20260515T195552.035016+0000_rc_mpl1_bounded_10_p0p9_r2.json
2026-05-15T19:57:22.765430+00:00,rc,bounded_10,10,0.900000,0.900000,1,3,3994,30.0,60.0,216125,0,216125,0,3602.083333,3602.083333,3602.083333,3602.083333,0.000000,0.000000,0.000000,0.000000,0.272513,0.272513,0.228188,0.417564,0.417564,True,3600360372,results/main/raw/20260515T195722.765430+0000_rc_mpl1_bounded_10_p0p9_r3.json
