timestamp_utc,policy,retry_model,hotspot_probability,mpl,repeat,seed,warmup_seconds,measurement_seconds,committed,errors,attempts,aborts,committed_tps,observed_tps,attempted_tps,error_rate_pct,abort_rate_pct,latency_mean_ms,latency_p50_ms,latency_p95_ms,validation_ok,post_total_funds,raw_path
2026-05-15T17:33:31.748768+00:00,rc,bounded_1,0.100000,1,1,3992,1.0,3.0,10496,0,10496,0,3498.666667,3498.666667,3498.666667,0.000000,0.000000,0.280154,0.223542,0.421591,True,3600015358,results/v7_mini/raw/20260515T173331.748768+0000_rc_mpl1_bounded_1_p0p1_r1.json
2026-05-15T17:33:36.448195+00:00,rc,bounded_1,0.900000,1,1,3992,1.0,3.0,10628,0,10628,0,3542.666667,3542.666667,3542.666667,0.000000,0.000000,0.277109,0.232688,0.427223,True,3600014928,results/v7_mini/raw/20260515T173336.448195+0000_rc_mpl1_bounded_1_p0p9_r1.json
2026-05-15T17:33:41.220599+00:00,rc,unbounded,0.100000,1,1,3992,1.0,3.0,10238,0,10238,0,3412.666667,3412.666667,3412.666667,0.000000,0.000000,0.287627,0.241292,0.443794,True,3600014981,results/v7_mini/raw/20260515T173341.220599+0000_rc_mpl1_unbounded_p0p1_r1.json
2026-05-15T17:33:45.933792+00:00,rc,unbounded,0.900000,1,1,3992,1.0,3.0,10661,0,10661,0,3553.666667,3553.666667,3553.666667,0.000000,0.000000,0.276196,0.241313,0.451204,True,3600015063,results/v7_mini/raw/20260515T173345.933792+0000_rc_mpl1_unbounded_p0p9_r1.json
2026-05-15T17:33:50.951253+00:00,rc,bounded_1,0.100000,32,1,3992,1.0,3.0,41457,0,41457,0,13819.000000,13819.000000,13819.000000,0.000000,0.000000,2.317199,1.946438,3.378559,True,3599661934,results/v7_mini/raw/20260515T173350.951253+0000_rc_mpl32_bounded_1_p0p1_r1.json
2026-05-15T17:33:56.203330+00:00,rc,bounded_1,0.900000,32,1,3992,1.0,3.0,38255,0,38255,0,12751.666667,12751.666667,12751.666667,0.000000,0.000000,2.512251,1.787500,4.580254,True,3587954239,results/v7_mini/raw/20260515T173356.203330+0000_rc_mpl32_bounded_1_p0p9_r1.json
2026-05-15T17:34:01.319507+00:00,rc,unbounded,0.100000,32,1,3992,1.0,3.0,35190,0,35190,0,11730.000000,11730.000000,11730.000000,0.000000,0.000000,2.726768,1.728334,3.985425,True,3599253217,results/v7_mini/raw/20260515T173401.319507+0000_rc_mpl32_unbounded_p0p1_r1.json
2026-05-15T17:34:06.375522+00:00,rc,unbounded,0.900000,32,1,3992,1.0,3.0,41470,0,41470,0,13823.333333,13823.333333,13823.333333,0.000000,0.000000,2.317571,1.806000,4.433427,True,3589658447,results/v7_mini/raw/20260515T173406.375522+0000_rc_mpl32_unbounded_p0p9_r1.json
2026-05-15T17:34:11.099911+00:00,si,bounded_1,0.100000,1,1,3992,1.0,3.0,10316,0,10316,0,3438.666667,3438.666667,3438.666667,0.000000,0.000000,0.285353,0.234937,0.430881,True,3600015287,results/v7_mini/raw/20260515T173411.099911+0000_si_mpl1_bounded_1_p0p1_r1.json
2026-05-15T17:34:15.831571+00:00,si,bounded_1,0.900000,1,1,3992,1.0,3.0,10674,0,10674,0,3558.000000,3558.000000,3558.000000,0.000000,0.000000,0.275880,0.222751,0.409502,True,3600015065,results/v7_mini/raw/20260515T173415.831571+0000_si_mpl1_bounded_1_p0p9_r1.json
2026-05-15T17:34:20.563969+00:00,si,unbounded,0.100000,1,1,3992,1.0,3.0,10549,0,10549,0,3516.333333,3516.333333,3516.333333,0.000000,0.000000,0.279078,0.231729,0.423085,True,3600015475,results/v7_mini/raw/20260515T173420.563969+0000_si_mpl1_unbounded_p0p1_r1.json
2026-05-15T17:34:25.255892+00:00,si,unbounded,0.900000,1,1,3992,1.0,3.0,10046,0,10046,0,3348.666667,3348.666667,3348.666667,0.000000,0.000000,0.292906,0.233063,0.428466,True,3600013932,results/v7_mini/raw/20260515T173425.255892+0000_si_mpl1_unbounded_p0p9_r1.json
2026-05-15T17:34:30.302138+00:00,si,bounded_1,0.100000,32,1,3992,1.0,3.0,42273,32,42603,330,14091.000000,14101.666667,14201.000000,0.075641,0.774593,2.273583,1.943333,3.346627,True,3600062390,results/v7_mini/raw/20260515T173430.302138+0000_si_mpl32_bounded_1_p0p1_r1.json
2026-05-15T17:34:35.354211+00:00,si,bounded_1,0.900000,32,1,3992,1.0,3.0,29219,3964,41991,12772,9739.666667,11061.000000,13997.000000,11.945876,30.416042,2.901850,2.063667,5.795438,True,3600052384,results/v7_mini/raw/20260515T173435.354211+0000_si_mpl32_bounded_1_p0p9_r1.json
2026-05-15T17:34:40.397405+00:00,si,unbounded,0.100000,32,1,3992,1.0,3.0,39292,0,39572,280,13097.333333,13097.333333,13190.666667,0.000000,0.707571,2.446140,1.790833,3.314093,True,3600059129,results/v7_mini/raw/20260515T173440.397405+0000_si_mpl32_unbounded_p0p1_r1.json
2026-05-15T17:34:45.455151+00:00,si,unbounded,0.900000,32,1,3992,1.0,3.0,26475,0,41329,14854,8825.000000,8825.000000,13776.333333,0.000000,35.940865,3.634831,1.988709,10.869842,True,3600037835,results/v7_mini/raw/20260515T173445.455151+0000_si_mpl32_unbounded_p0p9_r1.json
2026-05-15T17:34:50.171507+00:00,ssi,bounded_1,0.100000,1,1,3992,1.0,3.0,10151,0,10151,0,3383.666667,3383.666667,3383.666667,0.000000,0.000000,0.290174,0.316792,0.668120,True,3600013988,results/v7_mini/raw/20260515T173450.171507+0000_ssi_mpl1_bounded_1_p0p1_r1.json
2026-05-15T17:34:55.101204+00:00,ssi,bounded_1,0.900000,1,1,3992,1.0,3.0,10663,0,10663,0,3554.333333,3554.333333,3554.333333,0.000000,0.000000,0.276080,0.215250,0.414837,True,3600014636,results/v7_mini/raw/20260515T173455.101204+0000_ssi_mpl1_bounded_1_p0p9_r1.json
2026-05-15T17:34:59.844778+00:00,ssi,unbounded,0.100000,1,1,3992,1.0,3.0,10728,0,10728,0,3576.000000,3576.000000,3576.000000,0.000000,0.000000,0.274257,0.225979,0.429386,True,3600015788,results/v7_mini/raw/20260515T173459.844778+0000_ssi_mpl1_unbounded_p0p1_r1.json
2026-05-15T17:35:04.543371+00:00,ssi,unbounded,0.900000,1,1,3992,1.0,3.0,10964,0,10964,0,3654.666667,3654.666667,3654.666667,0.000000,0.000000,0.268460,0.246833,0.444390,True,3600015637,results/v7_mini/raw/20260515T173504.543371+0000_ssi_mpl1_unbounded_p0p9_r1.json
2026-05-15T17:35:09.588503+00:00,ssi,bounded_1,0.100000,32,1,3992,1.0,3.0,39053,25,39396,343,13017.666667,13026.000000,13132.000000,0.063975,0.870647,2.458894,1.918251,3.915614,True,3600058766,results/v7_mini/raw/20260515T173509.588503+0000_ssi_mpl32_bounded_1_p0p1_r1.json
2026-05-15T17:35:14.647480+00:00,ssi,bounded_1,0.900000,32,1,3992,1.0,3.0,29091,3519,40707,11616,9697.000000,10870.000000,13569.000000,10.791168,28.535633,2.939067,1.972125,6.204867,True,3600051617,results/v7_mini/raw/20260515T173514.647480+0000_ssi_mpl32_bounded_1_p0p9_r1.json
2026-05-15T17:35:19.678199+00:00,ssi,unbounded,0.100000,32,1,3992,1.0,3.0,40667,0,41244,577,13555.666667,13555.666667,13748.000000,0.000000,1.398991,2.362138,1.987917,3.823818,True,3600060281,results/v7_mini/raw/20260515T173519.678199+0000_ssi_mpl32_unbounded_p0p1_r1.json
