source_csv,timestamp_utc,policy,policy_label,retry_model,retry_label,retry_budget,hotspot_probability,hotspot_p,mpl,repeat,seed,warmup_seconds,measurement_seconds,committed,errors,attempts,aborts,tps,committed_tps,error_rate_pct,error_rate,abort_rate_pct,abort_rate,mean_latency_ms,p95_latency_ms,validation_ok,raw_path
results/v7/summary/run_summaries.csv,2026-05-15T23:42:01.231944+00:00,rc,RC,bounded_1,1 retry,1.0,0.9,0.9,64,1,3992,30.0,60.0,379730,0,379730,0,6328.833333,6328.833333,0.0,0.0,0.0,0.0,10.109899,56.358963,True,results/v7/raw/20260515T234201.231944+0000_rc_mpl64_bounded_1_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-15T23:43:32.998272+00:00,rc,RC,bounded_1,1 retry,1.0,0.9,0.9,64,2,3993,30.0,60.0,382708,0,382708,0,6378.466667,6378.466667,0.0,0.0,0.0,0.0,10.027282,54.312759,True,results/v7/raw/20260515T234332.998272+0000_rc_mpl64_bounded_1_p0p9_r2.json
results/v7/summary/run_summaries.csv,2026-05-15T23:45:04.936566+00:00,rc,RC,bounded_1,1 retry,1.0,0.9,0.9,64,3,3994,30.0,60.0,553041,0,553041,0,9217.35,9217.35,0.0,0.0,0.0,0.0,6.93303,54.179958,True,results/v7/raw/20260515T234504.936566+0000_rc_mpl64_bounded_1_p0p9_r3.json
results/v7/summary/run_summaries.csv,2026-05-15T23:46:36.501747+00:00,rc,RC,bounded_1,1 retry,1.0,0.9,0.9,64,4,3995,30.0,60.0,825840,0,825840,0,13764.0,13764.0,0.0,0.0,0.0,0.0,4.639706,18.019627,True,results/v7/raw/20260515T234636.501747+0000_rc_mpl64_bounded_1_p0p9_r4.json
results/v7/summary/run_summaries.csv,2026-05-15T23:48:07.998690+00:00,rc,RC,bounded_1,1 retry,1.0,0.9,0.9,64,5,3996,30.0,60.0,379234,0,379234,0,6320.566667,6320.566667,0.0,0.0,0.0,0.0,10.122998,57.964677,True,results/v7/raw/20260515T234807.998690+0000_rc_mpl64_bounded_1_p0p9_r5.json
results/v7/summary/run_summaries.csv,2026-05-16T00:04:56.037773+00:00,rc,RC,bounded_3,3 retries,3.0,0.9,0.9,64,1,3992,30.0,60.0,656680,0,656680,0,10944.666667,10944.666667,0.0,0.0,0.0,0.0,5.838218,47.409351,True,results/v7/raw/20260516T000456.037773+0000_rc_mpl64_bounded_3_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-16T00:06:27.561104+00:00,rc,RC,bounded_3,3 retries,3.0,0.9,0.9,64,2,3993,30.0,60.0,775245,0,775245,0,12920.75,12920.75,0.0,0.0,0.0,0.0,4.942824,18.408727,True,results/v7/raw/20260516T000627.561104+0000_rc_mpl64_bounded_3_p0p9_r2.json
results/v7/summary/run_summaries.csv,2026-05-16T00:07:59.241175+00:00,rc,RC,bounded_3,3 retries,3.0,0.9,0.9,64,3,3994,30.0,60.0,378854,0,378854,0,6314.233333,6314.233333,0.0,0.0,0.0,0.0,10.133601,55.405173,True,results/v7/raw/20260516T000759.241175+0000_rc_mpl64_bounded_3_p0p9_r3.json
results/v7/summary/run_summaries.csv,2026-05-16T00:09:30.917907+00:00,rc,RC,bounded_3,3 retries,3.0,0.9,0.9,64,4,3995,30.0,60.0,383832,0,383832,0,6397.2,6397.2,0.0,0.0,0.0,0.0,9.994884,54.440659,True,results/v7/raw/20260516T000930.917907+0000_rc_mpl64_bounded_3_p0p9_r4.json
results/v7/summary/run_summaries.csv,2026-05-16T00:11:02.579210+00:00,rc,RC,bounded_3,3 retries,3.0,0.9,0.9,64,5,3996,30.0,60.0,615995,0,615995,0,10266.583333,10266.583333,0.0,0.0,0.0,0.0,6.224245,50.15604,True,results/v7/raw/20260516T001102.579210+0000_rc_mpl64_bounded_3_p0p9_r5.json
results/v7/summary/run_summaries.csv,2026-05-16T00:27:50.089470+00:00,rc,RC,bounded_10,10 retries,10.0,0.9,0.9,64,1,3992,30.0,60.0,379312,0,379312,0,6321.866667,6321.866667,0.0,0.0,0.0,0.0,10.118993,56.013817,True,results/v7/raw/20260516T002750.089470+0000_rc_mpl64_bounded_10_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-16T00:29:21.657360+00:00,rc,RC,bounded_10,10 retries,10.0,0.9,0.9,64,2,3993,30.0,60.0,380770,0,380770,0,6346.166667,6346.166667,0.0,0.0,0.0,0.0,10.078515,56.462323,True,results/v7/raw/20260516T002921.657360+0000_rc_mpl64_bounded_10_p0p9_r2.json
results/v7/summary/run_summaries.csv,2026-05-16T00:30:53.306209+00:00,rc,RC,bounded_10,10 retries,10.0,0.9,0.9,64,3,3994,30.0,60.0,684451,0,684451,0,11407.516667,11407.516667,0.0,0.0,0.0,0.0,5.600454,41.218451,True,results/v7/raw/20260516T003053.306209+0000_rc_mpl64_bounded_10_p0p9_r3.json
results/v7/summary/run_summaries.csv,2026-05-16T00:32:24.790435+00:00,rc,RC,bounded_10,10 retries,10.0,0.9,0.9,64,4,3995,30.0,60.0,773293,0,773293,0,12888.216667,12888.216667,0.0,0.0,0.0,0.0,4.958081,17.56431,True,results/v7/raw/20260516T003224.790435+0000_rc_mpl64_bounded_10_p0p9_r4.json
results/v7/summary/run_summaries.csv,2026-05-16T00:33:56.433247+00:00,rc,RC,bounded_10,10 retries,10.0,0.9,0.9,64,5,3996,30.0,60.0,378523,0,378523,0,6308.716667,6308.716667,0.0,0.0,0.0,0.0,10.138445,56.48921,True,results/v7/raw/20260516T003356.433247+0000_rc_mpl64_bounded_10_p0p9_r5.json
results/v7/summary/run_summaries.csv,2026-05-16T00:50:44.345154+00:00,rc,RC,unbounded,Retry forever,inf,0.9,0.9,64,1,3992,30.0,60.0,796419,0,796419,0,13273.65,13273.65,0.0,0.0,0.0,0.0,4.811703,23.153521,True,results/v7/raw/20260516T005044.345154+0000_rc_mpl64_unbounded_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-16T00:52:15.875854+00:00,rc,RC,unbounded,Retry forever,inf,0.9,0.9,64,2,3993,30.0,60.0,599213,0,599213,0,9986.883333,9986.883333,0.0,0.0,0.0,0.0,6.403189,17.10705,True,results/v7/raw/20260516T005215.875854+0000_rc_mpl64_unbounded_p0p9_r2.json
results/v7/summary/run_summaries.csv,2026-05-16T00:53:47.586855+00:00,rc,RC,unbounded,Retry forever,inf,0.9,0.9,64,3,3994,30.0,60.0,381309,0,381309,0,6355.15,6355.15,0.0,0.0,0.0,0.0,10.063227,55.967652,True,results/v7/raw/20260516T005347.586855+0000_rc_mpl64_unbounded_p0p9_r3.json
results/v7/summary/run_summaries.csv,2026-05-16T00:55:19.098212+00:00,rc,RC,unbounded,Retry forever,inf,0.9,0.9,64,4,3995,30.0,60.0,382732,0,382732,0,6378.866667,6378.866667,0.0,0.0,0.0,0.0,10.031113,56.947879,True,results/v7/raw/20260516T005519.098212+0000_rc_mpl64_unbounded_p0p9_r4.json
results/v7/summary/run_summaries.csv,2026-05-16T00:56:50.760980+00:00,rc,RC,unbounded,Retry forever,inf,0.9,0.9,64,5,3996,30.0,60.0,751831,0,751831,0,12530.516667,12530.516667,0.0,0.0,0.0,0.0,5.097665,29.500551,True,results/v7/raw/20260516T005650.760980+0000_rc_mpl64_unbounded_p0p9_r5.json
results/v7/summary/run_summaries.csv,2026-05-16T05:46:43.008783+00:00,si,SI,bounded_1,1 retry,1.0,0.9,0.9,64,1,3992,30.0,60.0,220291,40784,337649,117358,3671.516667,3671.516667,15.621565,15.621565,34.757396,34.757396,14.70842,73.490985,True,results/v7/raw/20260516T054643.008783+0000_si_mpl64_bounded_1_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-16T05:48:15.015940+00:00,si,SI,bounded_1,1 retry,1.0,0.9,0.9,64,2,3993,30.0,60.0,237058,44530,365525,128467,3950.966667,3950.966667,15.813884,15.813884,35.145886,35.145886,13.629493,108.643354,True,results/v7/raw/20260516T054815.015940+0000_si_mpl64_bounded_1_p0p9_r2.json
results/v7/summary/run_summaries.csv,2026-05-16T05:49:46.745462+00:00,si,SI,bounded_1,1 retry,1.0,0.9,0.9,64,3,3994,30.0,60.0,253874,50700,398661,144787,4231.233333,4231.233333,16.646201,16.646201,36.318326,36.318326,12.603416,72.888093,True,results/v7/raw/20260516T054946.745462+0000_si_mpl64_bounded_1_p0p9_r3.json
results/v7/summary/run_summaries.csv,2026-05-16T05:51:18.451643+00:00,si,SI,bounded_1,1 retry,1.0,0.9,0.9,64,4,3995,30.0,60.0,454885,102522,740937,286052,7581.416667,7581.416667,18.392665,18.392665,38.606791,38.606791,6.878361,37.12091,True,results/v7/raw/20260516T055118.451643+0000_si_mpl64_bounded_1_p0p9_r4.json
results/v7/summary/run_summaries.csv,2026-05-16T05:52:50.154796+00:00,si,SI,bounded_1,1 retry,1.0,0.9,0.9,64,5,3996,30.0,60.0,258027,50064,401459,143432,4300.45,4300.45,16.249744,16.249744,35.727683,35.727683,12.461272,52.778044,True,results/v7/raw/20260516T055250.154796+0000_si_mpl64_bounded_1_p0p9_r5.json
results/v7/summary/run_summaries.csv,2026-05-16T06:09:41.271729+00:00,si,SI,bounded_3,3 retries,3.0,0.9,0.9,64,1,3992,30.0,60.0,269503,20684,453762,184259,4491.716667,4491.716667,7.127818,7.127818,40.60697,40.60697,13.227819,90.037919,True,results/v7/raw/20260516T060941.271729+0000_si_mpl64_bounded_3_p0p9_r1.json
results/v7/summary/run_summaries.csv,2026-05-16T06:11:12.993765+00:00,si,SI,bounded_3,3 retries,3.0,0.9,0.9,64,2,3993,30.0,60.0,476883,42264,836563,359680,7948.05,7948.05,8.141047,8.141047,42.994969,42.994969,7.386761,25.912542,True,results/v7/raw/20260516T061112.993765+0000_si_mpl64_bounded_3_p0p9_r2.json
